sentences,puzzle_word,level
She occasionally sobs when recalling sad memories.,sobs,A
They skate gracefully on the ice rink.,skate,C
He initiates humanitarian missions.,initiates,A
The spy likes to eavesdrop on secret conversations.,eavesdrop,S
He plays with his dog in the park.,plays,B
He likes to eavesdrop on his neighbor's conversations.,eavesdrop,A
The conductor guides the orchestra with precision.,guides,B
She caresses the soft kitten.,caresses,B
The detective carefully scrutinizes the crime scene.,scrutinizes,S
They play tag in the park.,play,C
They swim in the crystal-clear waters of the lake.,swim,C
The chef cooks a gourmet meal.,cooks,B
The scientist will scrutinize the research findings.,scrutinize,A
She whispers secrets to her best friend.,whispers,B
She reads a book under the shade of a tree.,reads,B
The elephant sprays itself with water.,elephant,C
She swings on the playground swing.,swings,C
The investigator interrogates the suspect.,interrogates,S
He conducts experiments in the laboratory.,conducts,B
The firefighter sprays water to put out the fire.,sprays,C
He flies a kite at the beach.,flies,C
He computes intricate algorithms for computer graphics.,computes,S
The couple chortles at a funny joke.,chortles,A
She researches the history of ancient civilizations.,researches,B
The biochemist will purify the DNA sample for analysis.,purify,S
The scientist discovers a new species.,discovers,A
He fixes cars for a living.,fixes,B
He conducted a comprehensive longitudinal psychological study.,conducted,S
The conductor guides the orchestra with precision.,guides,A
He dances to the rhythm of the music.,dances,C
She sculpts a masterpiece from clay.,sculpts,A
He patents innovative inventions.,patents,S
The photographer will oversee the entire photoshoot.,oversee,S
The chef grills juicy steaks on the barbecue.,grills,C
She hugs her teddy bear tightly.,hugs,C
He rides his bike in the park.,rides,C
He fixes the leaky faucet in the kitchen.,fixes,C
They compute the trajectory of the spacecraft.,compute,B
The tiger prowls through the jungle.,tiger,C
She produced critically acclaimed films.,produced,S
The surgeon must manipulate delicate tissues during the operation.,manipulate,S
The chef prepares a gourmet meal for the guests.,prepares,B
The shark swims in the deep ocean.,shark,C
She explores new hiking trails in the mountains.,explores,A
He impels his team to achieve greatness.,impels,S
The scientist discovers a new species.,discovers,A
The explorer decided to meander through the dense jungle.,meander,S
They color with crayons on paper.,color,C
They waddle like penguins at the zoo.,waddle,C
They skate at the ice rink.,skate,B
He extrapolates data to make predictions.,extrapolates,S
"He ambles through the park, enjoying the scenery.",ambles,A
They climb to the mountain's summit.,climb,C
They oversee the construction project with great care.,oversee,S
The chef prepares a gourmet meal for the guests.,prepares,C
The detective carefully scrutinizes the crime scene.,scrutinizes,S
The diplomats discourse on international relations.,discourse,S
He coordinates the logistics of the event.,coordinates,B
He likes to converse with people from different cultures.,converse,A
Let's gobble down our delicious meal.,gobble,B
He jots down notes during the meeting.,jots,B
She rides a rollercoaster at the theme park.,rides,C
The kids love to run around in the park.,run,C
We'll grill burgers for dinner.,grill,B
They research cutting-edge medical treatments.,research,A
She secured numerous patents for revolutionary inventions.,secured,S
The acrobat executed a perfect somersault in mid-air.,somersault,S
She administers medication to her patients.,administers,B
He smiles warmly at everyone he meets.,smiles,C
He catches the ball with one hand.,catches,C
The eagle soars high in the sky.,eagle,C
They build a sandcastle on the beach.,build,C
He programs software to solve real-world problems.,programs,B
He designs innovative solutions for his clients.,designs,A
The chameleon changes color to blend in.,chameleon,C
The musician plays a melodic tune on the piano.,plays,C
She programs software to solve real-world problems.,programs,B
He skips rope during his workout.,skips,B
She directs a blockbuster movie production.,directs,A
The renowned artist sculpted breathtaking masterpieces from rare materials.,sculpted,S
She implements a comprehensive healthcare system.,implements,A
She seals the envelope with care.,seals,B
The biochemist will purify the DNA sample for analysis.,purify,S
She snuggles with her teddy bear.,snuggles,C
She devises innovative solutions for complex problems.,devises,S
The koala clings to the eucalyptus tree.,koala,C
The cheetah is the fastest land animal.,cheetah,C
She blows a kiss to her loved one.,blows,C
She fastens her seatbelt before driving.,fastens,A
The rhinoceros has a horn on its nose.,rhinoceros,C
She coordinates disaster relief efforts.,coordinates,A
He organizes a charity fundraiser.,organizes,B
The bird sings a beautiful song.,bird,C
He patents groundbreaking inventions.,patents,S
He founded transformative humanitarian missions.,founded,S
We grin at each other in excitement.,grin,B
The coach motivates the team to victory.,motivates,A
The teacher wipes the chalkboard clean.,wipes,C
She implements new policies in the company.,implements,B
He constructs a model of the solar system.,constructs,B
The submarine will submerge into the deep ocean waters.,submerge,S
The teacher teaches the students with passion.,teaches,C
He constructs innovative green energy solutions.,constructs,A
They collaborate on a school project.,collaborate,B
She interprets ancient manuscripts.,interprets,A
They forecast economic trends for the financial market.,forecast,S
They negotiate international peace agreements.,negotiate,A
He strategizes marketing campaigns.,strategizes,A
The seagull soars over the ocean.,seagull,C
The athlete can leap very high.,leap,B
She swims in the ocean on a hot day.,swims,C
He pioneers breakthroughs in scientific research.,pioneers,A
He crawls under the table to hide.,crawls,C
She researches the history of ancient civilizations.,researches,B
She supervises a multinational corporation.,supervises,A
He evaluates the performance of his employees.,evaluates,B
She whispers a secret to her best friend.,whispers,C
He smiles at strangers passing by.,smiles,B
She volunteers at the local shelter.,volunteers,B
The giraffe has a long neck.,giraffe,C
She dreams of a bright future.,dreams,B
He composes poetry in his free time.,composes,B
She giggles at the funny movie.,giggles,B
He extrapolates data to make informed predictions.,extrapolates,S
The CEO oversees global operations.,oversees,A
They paint colorful pictures.,paint,C
She volunteers at the local shelter.,volunteers,B
The artist creates intricate sculptures from marble.,creates,C
They splash in puddles after the rain.,splash,C
The director assembles a diverse cast for the film.,assembles,S
They caress the delicate petals of the rare flower.,caress,S
The conductor guides the orchestra with precision.,guides,A
The wanderer yearns to explore uncharted territories.,explore,S
He skips stones across the calm lake.,skips,B
The chicken lays fresh eggs.,chicken,C
We study together for exams.,study,B
She patents groundbreaking inventions.,patents,A
They forecast market trends for the business.,forecast,S
They shout with joy at the surprise party.,shout,C
He juggles colorful balls in the park.,juggles,C
They doze off during the long train ride.,doze,A
The owl hoots in the night.,owl,C
She likes to peruse magazines at the store.,peruse,B
They compose music for a new film soundtrack.,compose,B
She dances gracefully on the stage.,dances,B
He revolutionized scientific research with groundbreaking discoveries.,revolutionized,S
He constructs a model of the solar system.,constructs,A
We linger in the park after sunset.,linger,B
They compose music for a new film soundtrack.,compose,A
She reclines on the luxurious chaise lounge.,reclines,S
He orchestrates a diplomatic summit.,orchestrates,A
She examines the patient's medical history.,examines,B
The conductor composes a symphony for the orchestra.,composes,S
He unfastens his seatbelt to exit the car.,unfastens,A
They leap over the hurdle with ease.,leap,B
"After a long day, she seeks to repose in her favorite chair.",repose,S
They explore uncharted territories in search of treasure.,explore,S
She composes a sonata for piano and violin.,composes,S
The engineer aims to propel the rocket into space.,propel,S
He negotiates a complex business deal.,negotiates,A
They navigate through a dense forest.,navigate,A
The chemist will purify the sample.,purify,A
She rides a horse in the countryside.,rides,C
They kick a soccer ball in the park.,kick,C
She dissects complex issues to understand them better.,dissects,S
They analyze geological formations in the wilderness.,analyze,S
They research cutting-edge medical treatments.,research,A
The spy likes to eavesdrop on secret conversations.,eavesdrop,S
The fish swims gracefully in the aquarium.,fish,C
He washes his hands before dinner.,washes,C
The scientist discovers a new species.,discovers,A
They sauté the vegetables in a hot pan.,sauté,A
He conducts a psychological study.,conducts,A
He vaults over the high bar with finesse.,vaults,A
He constructs a model of the solar system.,constructs,B
They travel to new destinations every year.,travel,B
She feeds the hungry ducks at the pond.,feeds,C
"She reclines on the beach, soaking up the sun.",reclines,A
The platypus is a unique mammal.,platypus,C
The jellyfish drifts in the water.,jellyfish,C
They read a captivating story before bedtime.,read,C
She rinses her face with cold water.,rinses,B
We relax on the beach during vacation.,relax,B
The geologist analyzes rock formations in the field.,analyzes,S
They wave goodbye as the train departs.,wave,C
The lion is known as the king of the jungle.,lion,C
They propose groundbreaking scientific theories.,propose,S
"They linger in the art gallery, admiring the masterpieces.",linger,S
The scientist will meticulously analyze the complex data.,analyze,S
They celebrate birthdays with cake.,celebrate,B
They design innovative solutions for their clients.,design,B
He organizes a charity fundraiser.,organizes,B
She writes in her journal every night.,writes,B
The explorer loves to wander through remote wilderness areas.,wander,S
He shoves the heavy box into the truck.,shoves,B
The lawyer litigates a high-profile case.,litigates,A
He composes poetry in his free time.,composes,A
She bakes cookies for the holiday season.,bakes,C
She researches the history of ancient civilizations.,researches,A
He repairs broken appliances at home.,repairs,B
They synthesize new chemical compounds for experimentation.,synthesize,S
She rides her bike through the scenic countryside.,rides,C
The dolphin leaps out of the water.,dolphin,C
I smile when I see a rainbow.,smile,B
"The children frolic in the park, laughing and playing.",frolic,A
They laugh heartily at the comedian's jokes.,laugh,B
She sings her favorite song in the shower.,sings,B
The group bursts into spontaneous guffaws at the comedy show.,guffaws,S
The chef prepares a gourmet meal for the guests.,prepares,B
They run marathons for charity.,run,B
He watches the stars twinkle at night.,watches,C
She coordinates the logistics of the event.,coordinates,B
The butterfly flutters among flowers.,butterfly,C
We listen to music on long car rides.,listen,B
He plays with his dog in the park.,plays,B
The elephant is the largest land animal.,elephant,C
The kangaroo has powerful hind legs.,kangaroo,C
The chef prepares a gourmet meal for the guests.,prepares,B
She computes complex algorithms for artificial intelligence.,computes,S
They navigated intricate international legal frameworks.,navigated,S
The attorney litigated a landmark constitutional case.,litigated,S
He exercises at the gym regularly.,exercises,C
The pilot navigates the plane through turbulent skies.,navigates,B
The astronomer aims to observe distant galaxies.,observe,S
They fabricate intricate jewelry.,fabricate,A
The gardener prunes the bushes in the park.,prunes,B
He whispers a secret in her ear.,whispers,B
She beams with happiness.,beams,B
She examines the patient's medical history.,examines,B
He eats a delicious slice of pizza.,eats,C
I smile when I see a rainbow.,smile,B
We watch movies on Friday nights.,watch,B
The surgeon performs a delicate procedure.,performs,A
They negotiated international peace agreements.,negotiated,S
The squirrel collects acorns in the park.,squirrel,C
She takes a nap on the comfy couch.,nap,B
She sometimes laments the loss of her loved ones.,laments,S
The dancers twirl gracefully on the stage.,twirl,A
The children tug at the rope in a game.,tug,B
She takes a nap on the cozy couch.,nap,A
He rolls the dice for a board game.,rolls,C
She watches the sunrise from her balcony.,watches,C
"They gambol through the meadow, full of energy.",gambol,A
She wears a red dress to the party.,wears,C
He reclines on the hammock in the garden.,reclines,A
He cooks a delicious meal for his family.,cooks,C
She synchronizes her movements with the music.,synchronizes,S
She will transcribe the interview recording.,transcribe,A
"After a long day, she seeks to repose in her favorite chair.",repose,S
She whimpers when she's sad.,whimpers,B
The mouse nibbles on a piece of cheese.,mouse,C
They monitor the security cameras closely.,monitor,A
She cares for injured animals.,cares,B
The chef cooks a gourmet meal.,cooks,B
I smell the fresh flowers in the garden.,smell,B
She throws the ball to her friend.,throws,C
"They osculate in the moonlight, lost in their love.",osculate,S
He cuts a slice of birthday cake.,cuts,C
They administer a large-scale vaccination program.,administer,A
The ballerina executes a flawless pirouette on her toes.,pirouette,S
He reads the newspaper every morning.,reads,B
The dog barked loudly in the yard.,dog,C
He engineered cutting-edge green energy solutions.,engineered,S
She plans to monitor the progress of the project closely.,monitor,A
He optimized supply chain logistics to enhance efficiency.,optimized,S
